"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2020","Spices; mace, crushed or ground","Export","186.93","6.5","Weight in kilograms","6.5"
"Slovenia","2020","Spices; mace, crushed or ground","Import","1572.04","65.01","Weight in kilograms","65.01"
"Slovenia","2020","Spices; cardamoms, neither crushed nor ground","Export","31.6","0.19","Weight in kilograms","0.19"
"Slovenia","2020","Spices; cardamoms, neither crushed nor ground","Import","13730.91","296.9","Weight in kilograms","296.9"
"Slovenia","2020","Spices; cardamoms, crushed or ground","Import","16903.5","370.94","Weight in kilograms","370.94"
"Slovenia","2020","Spices; cardamoms, crushed or ground","Export","81.79","3.15","Weight in kilograms","3.15"
"Slovenia","2020","Spices; coriander seeds, neither crushed nor ground","Export","37926.08","15512.05","Weight in kilograms","15512.05"
"Slovenia","2020","Spices; coriander seeds, neither crushed nor ground","Import","46609.59","17116.24","Weight in kilograms","17116.24"
"Slovenia","2020","Spices; coriander seeds, crushed or ground","Import","6533.13","1950.29","Weight in kilograms","1950.29"
"Slovenia","2020","Spices; coriander seeds, crushed or ground","Export","396.14","52.46","Weight in kilograms","52.46"
"Slovenia","2020","Spices; cumin seeds, neither crushed nor ground","Export","873.14","300.86","Weight in kilograms","300.86"
"Slovenia","2020","Spices; cumin seeds, neither crushed nor ground","Import","5060.25","456.67","Weight in kilograms","456.67"
"Slovenia","2020","Spices; cumin seeds, crushed or ground","Export","932.03","71.5","Weight in kilograms","71.5"
"Slovenia","2020","Spices; cumin seeds, crushed or ground","Import","12212.88","2496.55","Weight in kilograms","2496.55"
"Slovenia","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","1193641.78","316505.4","Weight in kilograms","316505.4"
"Slovenia","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Export","191.27","12.15","Weight in kilograms","12.15"
